offset,topic,payload
117.7273ms,BMS/v1/PUB/Metadata/CDU/LiquidFlow/nvidia/titan/pod1C/C-F00-CDU-05/secondary/flow/feedback/value,"{""objectType"":""CDU"",""pointType"":""LiquidFlow"",""engUnit"":""LPM"",""objectName"":""C-F00-CDU-05"",""objectId"":""C-F00-CDU-05"",""servesId"":[""Pod1C-E02"",""Pod1C-E03"",""Pod1C-E04"",""Pod1C-E05"",""Pod1C-E06"",""Pod1C-F02"",""Pod1C-F03"",""Pod1C-F04"",""Pod1C-F05"",""Pod1C-F06""],""processArea"":[""Seccondary""]}"
120.5371ms,BMS/v1/PUB/Metadata/CDU/PumpSpeed/nvidia/titan/pod1C/C-F00-CDU-05/secondary/pump/pump1/speed/value,"{""objectType"":""CDU"",""pointType"":""PumpSpeed"",""engUnit"":""%"",""objectName"":""C-F00-CDU-05"",""objectId"":""C-F00-CDU-05"",""servesId"":[""Pod1C-E02"",""Pod1C-E03"",""Pod1C-E04"",""Pod1C-E05"",""Pod1C-E06"",""Pod1C-F02"",""Pod1C-F03"",""Pod1C-F04"",""Pod1C-F05"",""Pod1C-F06""],""processArea"":[""Secondary""]}"
123.5491ms,BMS/v1/PUB/Metadata/CDU/PumpSpeed/nvidia/titan/pod1C/C-F00-CDU-05/secondary/pump/pump2/speed/value,"{""objectType"":""CDU"",""pointType"":""PumpSpeed"",""engUnit"":""%"",""objectName"":""C-F00-CDU-05"",""objectId"":""C-F00-CDU-05"",""servesId"":[""Pod1C-E02"",""Pod1C-E03"",""Pod1C-E04"",""Pod1C-E05"",""Pod1C-E06"",""Pod1C-F02"",""Pod1C-F03"",""Pod1C-F04"",""Pod1C-F05"",""Pod1C-F06""],""processArea"":[""Secondary""]}"
126.8589ms,BMS/v1/PUB/Metadata/CDU/LiquidPressure/nvidia/titan/pod1C/C-F00-CDU-05/secondary/return/pressure/feedback/value,"{""objectType"":""CDU"",""pointType"":""LiquidPressure"",""engUnit"":""kPa"",""objectName"":""C-F00-CDU-05"",""objectId"":""C-F00-CDU-05"",""servesId"":[""Pod1C-E02"",""Pod1C-E03"",""Pod1C-E04"",""Pod1C-E05"",""Pod1C-E06"",""Pod1C-F02"",""Pod1C-F03"",""Pod1C-F04"",""Pod1C-F05"",""Pod1C-F06""],""processArea"":[""Secondary"",""Return""]}"
129.3071ms,BMS/v1/PUB/Metadata/CDU/LiquidTemperature/nvidia/titan/pod1C/C-F00-CDU-05/secondary/return/temperature/feedback/value,"{""objectType"":""CDU"",""pointType"":""LiquidTemperature"",""engUnit"":""C"",""objectName"":""C-F00-CDU-05"",""objectId"":""C-F00-CDU-05"",""servesId"":[""Pod1C-E02"",""Pod1C-E03"",""Pod1C-E04"",""Pod1C-E05"",""Pod1C-E06"",""Pod1C-F02"",""Pod1C-F03"",""Pod1C-F04"",""Pod1C-F05"",""Pod1C-F06""],""processArea"":[""Secondary"",""Return""]}"
132.8701ms,BMS/v1/PUB/Metadata/CDU/LiquidPressure/nvidia/titan/pod1C/C-F00-CDU-05/secondary/supply/pressure/feedback/value,"{""objectType"":""CDU"",""pointType"":""LiquidPressure"",""engUnit"":""kPa"",""objectName"":""C-F00-CDU-05"",""objectId"":""C-F00-CDU-05"",""servesId"":[""Pod1C-E02"",""Pod1C-E03"",""Pod1C-E04"",""Pod1C-E05"",""Pod1C-E06"",""Pod1C-F02"",""Pod1C-F03"",""Pod1C-F04"",""Pod1C-F05"",""Pod1C-F06""],""processArea"":[""Secondary"",""Supply""]}"
136.5921ms,BMS/v1/PUB/Metadata/CDU/LiquidTemperature/nvidia/titan/pod1C/C-F00-CDU-05/secondary/supply/temperature/feedback/value,"{""objectType"":""CDU"",""pointType"":""LiquidTemperature"",""engUnit"":""C"",""objectName"":""C-F00-CDU-05"",""objectId"":""C-F00-CDU-05"",""servesId"":[""Pod1C-E02"",""Pod1C-E03"",""Pod1C-E04"",""Pod1C-E05"",""Pod1C-E06"",""Pod1C-F02"",""Pod1C-F03"",""Pod1C-F04"",""Pod1C-F05"",""Pod1C-F06""],""processArea"":[""Secondary"",""Supply""]}"
138.9313ms,BMS/v1/PUB/Metadata/CDU/LiquidTemperature/nvidia/titan/pod1C/C-F00-CDU-05/secondary/tempSetpoint/rValue,"{""objectType"":""CDU"",""pointType"":""LiquidTemperature"",""engUnit"":""C"",""objectName"":""C-F00-CDU-05"",""objectId"":""C-F00-CDU-05"",""servesId"":[""Pod1C-E02"",""Pod1C-E03"",""Pod1C-E04"",""Pod1C-E05"",""Pod1C-E06"",""Pod1C-F02"",""Pod1C-F03"",""Pod1C-F04"",""Pod1C-F05"",""Pod1C-F06""],""processArea"":[""Secondary"",""Supply""],""isSetpoint"":true}"
380.4231ms,BMS/v1/PUB/Metadata/Sensor/LeakDetect/nvidia/titan/pod1C/leakStatus/state/rValue,"{""objectType"":""Sensor"",""pointType"":""LeakDetect"",""stateText"":[{""value"":0,""text"":""NoLeak""},{""value"":1,""text"":""Leak""}],""objectName"":""EnvSensorsPod1C"",""objectId"":""EnvSensorsPod1C"",""processArea"":[""Pod1C""]}"
383.7831ms,BMS/v1/PUB/Metadata/Sensor/AirRelativeHumidity/nvidia/titan/pod1C/rowE/environment/coldAisle/relativeHumidity/rH01/feedback/value,"{""objectType"":""Sensor"",""pointType"":""AirRelativeHumidity"",""engUnit"":""%RH"",""objectName"":""EnvSensorsPod1C"",""objectId"":""EnvSensorsPod1C"",""processArea"":[""Pod1C"",""ColdAisle""]}"
