offset,topic,payload
1m20.1937541s,BMS/v1/PUB/Value/PowerMeter/ActivePower/nvidia/titan/pod1C/C-E-BUS-E2/info/activePower/value,"{""value"":111.058,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m20.1939681s,BMS/v1/PUB/Value/PowerMeter/ApparentPower/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/power/apparentPower/value,"{""value"":19.408,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m20.1943521s,BMS/v1/PUB/Value/PowerMeter/ApparentPower/nvidia/titan/pod1C/C-E-BUS-E2/info/apparentPower/value,"{""value"":112.889,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m20.1949789s,BMS/v1/PUB/Value/PowerMeter/Current/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/current/current/value,"{""value"":28.81538,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m20.1954763s,BMS/v1/PUB/Value/PowerMeter/Frequency/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/frequency/value,"{""value"":60.005,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m20.196013s,BMS/v1/PUB/Value/PowerMeter/Voltage/nvidia/titan/pod1C/C-E-BUS-E1/info/voltage/voltage/value,"{""value"":408.24,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m20.1985111s,BMS/v1/PUB/Value/Sensor/AirTemperature/nvidia/titan/pod1C/rowE/environment/hotAisle/temperature/temp01/feedback/value,"{""value"":28.612953,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m20.3788721s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/current/phase2/value,"{""value"":42.906,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m20.38095s,BMS/v1/PUB/Value/PowerMeter/Voltage/nvidia/titan/pod1C/C-E-BUS-E2/info/voltage/voltage/value,"{""value"":408.33,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m20.3812222s,BMS/v1/PUB/Value/Sensor/AirRelativeHumidity/nvidia/titan/pod1C/rowE/environment/coldAisle/relativeHumidity/rH01/feedback/value,"{""value"":32.35104,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m20.3820791s,BMS/v1/PUB/Value/Sensor/AirTemperature/nvidia/titan/pod1C/rowE/environment/coldAisle/temperature/temp01/feedback/value,"{""value"":26.40467,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m20.3863301s,BMS/v1/PUB/Value/PowerMeter/ApparentPower/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/power/apparentPower/value,"{""value"":29.197,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m20.3877851s,BMS/v1/PUB/Value/CDU/LiquidPressure/nvidia/titan/pod1C/C-F00-CDU-05/primary/outlet/pressure/feedback/value,"{""value"":197.19014,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m20.3880613s,BMS/v1/PUB/Value/Sensor/Sound/nvidia/titan/pod1C/rowE/environment/hotAisle/sound/sound01/feedback/value,"{""value"":66.50005,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m20.3890501s,BMS/v1/PUB/Value/Rack/RackLiquidReturnTemperature/nvidia/titan/pod1C/rowE/rack06/energyValve/returnTemperature/feedback/value,"{""value"":43.17,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m20.3901481s,BMS/v1/PUB/Value/Sensor/AirTemperature/nvidia/titan/pod1C/rowE/environment/hotAisle/temperature/temp02/feedback/value,"{""value"":27.727486,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m20.3916981s,BMS/v1/PUB/Value/Sensor/AirRelativeHumidity/nvidia/titan/pod1C/rowE/environment/hotAisle/relativeHumidity/rH02/feedback/value,"{""value"":29.968756,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m20.3924851s,BMS/v1/PUB/Value/PowerMeter/Frequency/nvidia/titan/pod1C/C-E-BUS-E2/info/frequency/value,"{""value"":60.005,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m20.3941211s,BMS/v1/PUB/Value/Sensor/AirDifferentialPressure/nvidia/titan/pod1C/rowE/environment/dp/dp02/feedback/value,"{""value"":0.055464596,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m20.3955321s,BMS/v1/PUB/Value/PowerMeter/Frequency/nvidia/titan/pod1C/C-E-BUS-E1/info/frequency/value,"{""value"":60.004,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m20.3962931s,BMS/v1/PUB/Value/CDU/LiquidPressure/nvidia/titan/pod1C/C-F00-CDU-05/primary/inlet/pressure/feedback/value,"{""value"":288.89044,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m20.3980772s,BMS/v1/PUB/Value/Rack/RackLiquidSupplyTemperature/nvidia/titan/pod1C/rowE/rack05/energyValve/supplyTemperature/feedback/value,"{""value"":32.69,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m20.3984001s,BMS/v1/PUB/Value/Rack/RackLiquidReturnTemperature/nvidia/titan/pod1C/rowE/rack02/energyValve/returnTemperature/feedback/value,"{""value"":42.11,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m20.399575s,BMS/v1/PUB/Value/PowerMeter/ActivePower/nvidia/titan/pod1C/C-E-BUS-E1/info/activePower/value,"{""value"":103.006,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m20.4001101s,BMS/v1/PUB/Value/Sensor/AirDifferentialPressure/nvidia/titan/pod1C/rowE/environment/dp/dp01/feedback/value,"{""value"":0.027625144,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m20.4006729s,BMS/v1/PUB/Value/PowerMeter/ApparentPower/nvidia/titan/pod1C/C-E-BUS-E1/info/apparentPower/value,"{""value"":104.632,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m20.4008471s,BMS/v1/PUB/Value/PowerMeter/Frequency/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/frequency/value,"{""value"":60.007,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m20.4026491s,BMS/v1/PUB/Value/PowerMeter/Current/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/current/current/value,"{""value"":42.966022,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m20.4043141s,BMS/v1/PUB/Value/Rack/RackLiquidDifferentialPressure/nvidia/titan/pod1C/rowE/rack02/energyValve/dp/feedback/value,"{""value"":189.9,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m20.4052781s,BMS/v1/PUB/Value/PowerMeter/Current/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/current/maxCurrent/value,"{""value"":33.525,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m20.4067131s,BMS/v1/PUB/Value/Rack/RackLiquidReturnTemperature/nvidia/titan/pod1C/rowE/rack05/energyValve/returnTemperature/feedback/value,"{""value"":46.37,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m20.4078961s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/current/phase2/value,"{""value"":33.525,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.1595611s,BMS/v1/PUB/Value/Rack/RackLiquidDifferentialPressure/nvidia/titan/pod1C/rowE/rack03/energyValve/dp/feedback/value,"{""value"":78.93,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.1618669s,BMS/v1/PUB/Value/Sensor/AirRelativeHumidity/nvidia/titan/pod1C/rowE/environment/hotAisle/relativeHumidity/rH01/feedback/value,"{""value"":28.58981,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.1630921s,BMS/v1/PUB/Value/Rack/RackLiquidSupplyTemperature/nvidia/titan/pod1C/rowE/rack03/energyValve/supplyTemperature/feedback/value,"{""value"":32.78,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.1634291s,BMS/v1/PUB/Value/Rack/RackLiquidFlow/nvidia/titan/pod1C/rowE/rack05/energyValve/flow/feedback/value,"{""value"":50.329,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.1638061s,BMS/v1/PUB/Value/Rack/RackLiquidFlow/nvidia/titan/pod1C/rowE/rack06/energyValve/flow/feedback/value,"{""value"":50.793,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.164418s,BMS/v1/PUB/Value/Rack/RackLiquidFlow/nvidia/titan/pod1C/rowE/rack02/energyValve/flow/feedback/value,"{""value"":50.228,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.1666981s,BMS/v1/PUB/Value/Rack/RackLiquidFlow/nvidia/titan/pod1C/rowE/rack04/energyValve/flow/feedback/value,"{""value"":49.781,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.1673069s,BMS/v1/PUB/Value/Sensor/AirRelativeHumidity/nvidia/titan/pod1C/rowE/environment/coldAisle/relativeHumidity/rH02/feedback/value,"{""value"":35.913277,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.1693431s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/current/phase1/value,"{""value"":43.002,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.1695573s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/current/phase3/value,"{""value"":43.001,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.1697693s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/current/phase3/value,"{""value"":24.304,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.1709291s,BMS/v1/PUB/Value/PowerMeter/ActivePower/nvidia/titan/pod1C/C-E-BUS-E2/info/activePower/value,"{""value"":111.068,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.1712631s,BMS/v1/PUB/Value/Rack/RackPower/nvidia/titan/pod1C/rowE/rack05/info/power/power/value,"{""value"":47.833,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.1716251s,BMS/v1/PUB/Value/PowerMeter/ApparentPower/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/power/apparentPower/value,"{""value"":19.413,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.1724043s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/current/phase1/value,"{""value"":27.873,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.1727881s,BMS/v1/PUB/Value/PowerMeter/ApparentPower/nvidia/titan/pod1C/C-E-BUS-E2/info/apparentPower/value,"{""value"":112.896996,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.173944s,BMS/v1/PUB/Value/PowerMeter/Frequency/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/frequency/value,"{""value"":60.006,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.1742251s,BMS/v1/PUB/Value/PowerMeter/Voltage/nvidia/titan/pod1C/C-E-BUS-E1/info/voltage/voltage/value,"{""value"":408.21,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.1744801s,BMS/v1/PUB/Value/Rack/RackPower/nvidia/titan/pod1C/rowE/rack04/info/power/power/value,"{""value"":47.759003,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.1752051s,BMS/v1/PUB/Value/Rack/RackLiquidSupplyTemperature/nvidia/titan/pod1C/rowE/rack02/energyValve/supplyTemperature/feedback/value,"{""value"":31.96,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.176121s,BMS/v1/PUB/Value/Sensor/AirTemperature/nvidia/titan/pod1C/rowE/environment/hotAisle/temperature/temp01/feedback/value,"{""value"":28.612762,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.1777351s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/C-E-BUS-E2/info/current/currentPhase2/value,"{""value"":159.284,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.1785181s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/C-E-BUS-E2/info/current/currentPhase1/value,"{""value"":176.839,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.3286611s,BMS/v1/PUB/Value/PowerMeter/Current/nvidia/titan/pod1C/C-E-BUS-E1/info/current/maxCurrent/value,"{""value"":161.927,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.3316601s,BMS/v1/PUB/Value/PowerMeter/Voltage/nvidia/titan/pod1C/C-E-BUS-E2/info/voltage/voltage/value,"{""value"":408.35,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.3319542s,BMS/v1/PUB/Value/Sensor/AirRelativeHumidity/nvidia/titan/pod1C/rowE/environment/coldAisle/relativeHumidity/rH01/feedback/value,"{""value"":32.35123,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.3352071s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/C-E-BUS-E1/info/current/currentPhase3/value,"{""value"":161.927,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.3406801s,BMS/v1/PUB/Value/Rack/RackLiquidSupplyTemperature/nvidia/titan/pod1C/rowE/rack06/energyValve/supplyTemperature/feedback/value,"{""value"":33.02,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.3414001s,BMS/v1/PUB/Value/PowerMeter/ApparentPower/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/power/apparentPower/value,"{""value"":29.202,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.3456781s,BMS/v1/PUB/Value/PowerMeter/Current/nvidia/titan/pod1C/C-E-BUS-E2/info/current/maxCurrent/value,"{""value"":176.83,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.3499961s,BMS/v1/PUB/Value/Rack/RackLiquidReturnTemperature/nvidia/titan/pod1C/rowE/rack06/energyValve/returnTemperature/feedback/value,"{""value"":43.15,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.3508651s,BMS/v1/PUB/Value/Sensor/AirTemperature/nvidia/titan/pod1C/rowE/environment/hotAisle/temperature/temp02/feedback/value,"{""value"":27.727654,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.3519301s,BMS/v1/PUB/Value/Sensor/AirRelativeHumidity/nvidia/titan/pod1C/rowE/environment/hotAisle/relativeHumidity/rH02/feedback/value,"{""value"":29.969519,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.3562369s,BMS/v1/PUB/Value/PowerMeter/Frequency/nvidia/titan/pod1C/C-E-BUS-E1/info/frequency/value,"{""value"":60.005,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.357142s,BMS/v1/PUB/Value/CDU/LiquidPressure/nvidia/titan/pod1C/C-F00-CDU-05/primary/inlet/pressure/feedback/value,"{""value"":288.20096,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.3578453s,BMS/v1/PUB/Value/Rack/RackPower/nvidia/titan/pod1C/rowE/rack02/info/power/power/value,"{""value"":35.211998,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.3604261s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/C-E-BUS-E1/info/current/currentPhase2/value,"{""value"":147.458,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.3622541s,BMS/v1/PUB/Value/PowerMeter/ActivePower/nvidia/titan/pod1C/C-E-BUS-E1/info/activePower/value,"{""value"":103.019,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.3658132s,BMS/v1/PUB/Value/Sensor/AirDifferentialPressure/nvidia/titan/pod1C/rowE/environment/dp/dp01/feedback/value,"{""value"":0.028346598,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.3677971s,BMS/v1/PUB/Value/PowerMeter/ApparentPower/nvidia/titan/pod1C/C-E-BUS-E1/info/apparentPower/value,"{""value"":104.647995,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.368186s,BMS/v1/PUB/Value/PowerMeter/Frequency/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/frequency/value,"{""value"":60.003,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.3688533s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/C-E-BUS-E2/info/current/currentPhase3/value,"{""value"":162.268,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.3763721s,BMS/v1/PUB/Value/PowerMeter/ActivePower/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/power/activePower/value,"{""value"":28.736,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.3780501s,BMS/v1/PUB/Value/PowerMeter/Current/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/current/current/value,"{""value"":42.96969,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.384856s,BMS/v1/PUB/Value/Rack/RackPower/nvidia/titan/pod1C/rowE/rack06/info/power/power/value,"{""value"":36.281,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.3866281s,BMS/v1/PUB/Value/PowerMeter/ActivePower/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/power/activePower/value,"{""value"":19.103,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.3886051s,BMS/v1/PUB/Value/PowerMeter/Current/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/current/maxCurrent/value,"{""value"":43.002,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.3888323s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/current/phase2/value,"{""value"":33.528,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.3901691s,BMS/v1/PUB/Value/Rack/RackPower/nvidia/titan/pod1C/rowE/rack01/info/power/power/value,"{""value"":0.095,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.3904541s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/C-E-BUS-E1/info/current/currentPhase1/value,"{""value"":152.555,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m21.390764s,BMS/v1/PUB/Value/Rack/RackLiquidDifferentialPressure/nvidia/titan/pod1C/rowE/rack04/energyValve/dp/feedback/value,"{""value"":78.84,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m22.154063s,BMS/v1/PUB/Value/Sensor/AirTemperature/nvidia/titan/pod1C/rowE/environment/coldAisle/temperature/temp02/feedback/value,"{""value"":24.673874,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m22.1609671s,BMS/v1/PUB/Value/Sensor/AirRelativeHumidity/nvidia/titan/pod1C/rowE/environment/hotAisle/relativeHumidity/rH01/feedback/value,"{""value"":28.587187,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m22.1630141s,BMS/v1/PUB/Value/Rack/RackLiquidFlow/nvidia/titan/pod1C/rowE/rack05/energyValve/flow/feedback/value,"{""value"":50.9,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m22.1634543s,BMS/v1/PUB/Value/Rack/RackLiquidFlow/nvidia/titan/pod1C/rowE/rack06/energyValve/flow/feedback/value,"{""value"":50.912,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m22.1644401s,BMS/v1/PUB/Value/Rack/RackLiquidFlow/nvidia/titan/pod1C/rowE/rack02/energyValve/flow/feedback/value,"{""value"":50.376,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m22.1655201s,BMS/v1/PUB/Value/Rack/RackLiquidFlow/nvidia/titan/pod1C/rowE/rack03/energyValve/flow/feedback/value,"{""value"":49.982,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m22.1661571s,BMS/v1/PUB/Value/Rack/RackLiquidFlow/nvidia/titan/pod1C/rowE/rack04/energyValve/flow/feedback/value,"{""value"":50.448,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m22.1664502s,BMS/v1/PUB/Value/CDU/LiquidPressure/nvidia/titan/pod1C/C-F00-CDU-05/secondary/return/pressure/feedback/value,"{""value"":234.42184,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m22.1672201s,BMS/v1/PUB/Value/Sensor/AirRelativeHumidity/nvidia/titan/pod1C/rowE/environment/coldAisle/relativeHumidity/rH02/feedback/value,"{""value"":35.913513,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m22.1676641s,BMS/v1/PUB/Value/CDU/LiquidDifferentialPressure/nvidia/titan/pod1C/C-F00-CDU-05/secondary/dp/feedback/value,"{""value"":91.01083,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m22.1705851s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/current/phase1/value,"{""value"":42.996,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m22.170841s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/current/phase3/value,"{""value"":42.988,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m22.1711451s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/current/phase3/value,"{""value"":24.3,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m22.1722291s,BMS/v1/PUB/Value/PowerMeter/ActivePower/nvidia/titan/pod1C/C-E-BUS-E2/info/activePower/value,"{""value"":111.046,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m22.1724829s,BMS/v1/PUB/Value/PowerMeter/ApparentPower/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/power/apparentPower/value,"{""value"":19.406,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m22.1729441s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/current/phase1/value,"{""value"":27.863,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m22.1737441s,BMS/v1/PUB/Value/PowerMeter/ApparentPower/nvidia/titan/pod1C/C-E-BUS-E2/info/apparentPower/value,"{""value"":112.873,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m22.1748461s,BMS/v1/PUB/Value/PowerMeter/Current/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/current/current/value,"{""value"":28.814907,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m22.1753881s,BMS/v1/PUB/Value/PowerMeter/Frequency/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/frequency/value,"{""value"":60.004,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m22.1759343s,BMS/v1/PUB/Value/PowerMeter/Voltage/nvidia/titan/pod1C/C-E-BUS-E1/info/voltage/voltage/value,"{""value"":408.19,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m22.1777691s,BMS/v1/PUB/Value/Sensor/AirTemperature/nvidia/titan/pod1C/rowE/environment/hotAisle/temperature/temp01/feedback/value,"{""value"":28.612518,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m22.3506789s,BMS/v1/PUB/Value/PowerMeter/PhaseCurrent/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/current/phase2/value,"{""value"":42.912,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m22.3534961s,BMS/v1/PUB/Value/PowerMeter/Current/nvidia/titan/pod1C/C-E-BUS-E1/info/current/current/value,"{""value"":161.927,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m22.3543391s,BMS/v1/PUB/Value/PowerMeter/Voltage/nvidia/titan/pod1C/C-E-BUS-E2/info/voltage/voltage/value,"{""value"":408.29,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m22.3546141s,BMS/v1/PUB/Value/Sensor/AirRelativeHumidity/nvidia/titan/pod1C/rowE/environment/coldAisle/relativeHumidity/rH01/feedback/value,"{""value"":32.350777,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m22.3566331s,BMS/v1/PUB/Value/Sensor/AirTemperature/nvidia/titan/pod1C/rowE/environment/coldAisle/temperature/temp01/feedback/value,"{""value"":26.404907,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m22.3604581s,BMS/v1/PUB/Value/Rack/RackLiquidSupplyTemperature/nvidia/titan/pod1C/rowE/rack06/energyValve/supplyTemperature/feedback/value,"{""value"":33.0,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m22.3607271s,BMS/v1/PUB/Value/PowerMeter/ApparentPower/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/power/apparentPower/value,"{""value"":29.195,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m22.3640921s,BMS/v1/PUB/Value/PowerMeter/Current/nvidia/titan/pod1C/C-E-BUS-E2/info/current/current/value,"{""value"":176.839,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m22.3643661s,BMS/v1/PUB/Value/Sensor/AirTemperature/nvidia/titan/pod1C/rowE/environment/hotAisle/temperature/temp02/feedback/value,"{""value"":27.728134,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m22.365165s,BMS/v1/PUB/Value/Sensor/AirRelativeHumidity/nvidia/titan/pod1C/rowE/environment/hotAisle/relativeHumidity/rH02/feedback/value,"{""value"":29.969042,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m22.3656371s,BMS/v1/PUB/Value/PowerMeter/Frequency/nvidia/titan/pod1C/C-E-BUS-E2/info/frequency/value,"{""value"":60.003,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m22.3671071s,BMS/v1/PUB/Value/PowerMeter/Frequency/nvidia/titan/pod1C/C-E-BUS-E1/info/frequency/value,"{""value"":60.003,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m22.367898s,BMS/v1/PUB/Value/CDU/LiquidPressure/nvidia/titan/pod1C/C-F00-CDU-05/primary/inlet/pressure/feedback/value,"{""value"":290.2694,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m22.3714332s,BMS/v1/PUB/Value/PowerMeter/ApparentPower/nvidia/titan/pod1C/C-E-BUS-E1/info/apparentPower/value,"{""value"":104.63,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m22.3716802s,BMS/v1/PUB/Value/PowerMeter/Frequency/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/frequency/value,"{""value"":60.005,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m22.3740031s,BMS/v1/PUB/Value/PowerMeter/ActivePower/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/power/activePower/value,"{""value"":28.729,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m22.3742761s,BMS/v1/PUB/Value/PowerMeter/Current/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E1/current/current/value,"{""value"":42.965347,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m22.3763901s,BMS/v1/PUB/Value/Rack/RackLiquidDifferentialPressure/nvidia/titan/pod1C/rowE/rack02/energyValve/dp/feedback/value,"{""value"":189.86,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m22.377558s,BMS/v1/PUB/Value/PowerMeter/Current/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/current/maxCurrent/value,"{""value"":33.527,""timestamp"":{{timestamp_ms}},""quality"":1}"
1m22.3784423s,BMS/v1/PUB/Value/PowerMeter/ActivePower/nvidia/titan/pod1C/rowE/rack05/C-E05-TAP-E2/power/activePower/value,"{""value"":19.095,""timestamp"":{{timestamp_ms}},""quality"":1}"
